"","Order","City","Address","State","Zip","Longitude","Latitude","Years","Region"
"1","1","Baldwin Park","13850 Francisquito Ave.","CA","91706","-117.974","34.068","1948","Los Angeles Area"
"2","2","Covina","1371 N. Grand Ave.","CA","91724","-117.873","34.105","1951","Los Angeles Area"
"3","3","La Verne","2098 Foothill Blvd.","CA","91750","-117.766","34.113","","Los Angeles Area"
"4","4","West Covina","15610 San Bernardino Rd.","CA","91790","-117.936","34.090","","Los Angeles Area"
"5","5","Pasadena","2114 E. Foothill Blvd.","CA","91107","-118.107","34.150","","Los Angeles Area"
"6","6","Azusa","324 S. Azusa Ave.","CA","91702","-117.907","34.118","","Los Angeles Area"
"7","7","La Puente","15259 E. Amar Rd.","CA","91744","-117.951","34.038","","Los Angeles Area"
"8","8","Pomona","1851 Indian Hill Blvd.","CA","91767","-117.720","34.078","","Los Angeles Area"
"9","9","North Hollywood","5864 Lankershim Blvd.","CA","91605","-118.382","34.177","","Los Angeles Area"
"10","10","Panorama City","13651 Roscoe Blvd.","CA","91402","-118.431","34.222","","Los Angeles Area"
"11","11","Hacienda Heights","14620 E. Gale Ave.","CA","91745","-117.987","34.019","","Los Angeles Area"
"12","12","San Fernando","11455 Laurel Canyon Blvd.","CA","91342","-118.452","34.277","","Los Angeles Area"
"13","13","Temple City","10601 E. Lower Azusa Rd.","CA","91780","-118.038","34.092","","Los Angeles Area"
"14","14","Norwalk","14330 Pioneer Blvd.","CA","90650","-118.082","33.901","","Los Angeles Area"
"15","15","Diamond Bar","21133 Golden Springs Dr.","CA","91789","-117.843","34.001","","Los Angeles Area"
"16","16","Tujunga","6225 Foothill Blvd.","CA","91042","-118.267","34.241","","Los Angeles Area"
"17","17","Santa Ana","815 N. Bristol St.","CA","92703","-117.885","33.752","","Orange County"
"18","18","Woodland Hills","19920 Ventura Blvd.","CA","91364","-118.567","34.172","1976","Los Angeles Area"
"19","19","Garden Grove","9032 Trask Ave.","CA","92844","-117.972","33.767","","Orange County"
"20","20","Rosemead","4242 N. Rosemead Blvd.","CA","91770","-118.073","34.084","","Los Angeles Area"
"21","21","Ontario","2235 Mountain Ave.","CA","91761","-117.668","34.033","","Inland Empire Area"
"22","22","Fontana","9855 Sierra Ave.","CA","92335","-117.435","34.075","","Inland Empire Area"
"23","23","Rancho Cucamonga","8955 Foothill Blvd.","CA","91730","-117.610","34.106","","Inland Empire Area"
"24","24","Anaheim","600 S. Brookhurst St.","CA","92804","-117.958","33.825","","Orange County"
"25","25","Corona","450 Auto Center Dr.","CA","92882","-117.613","33.882","","Inland Empire Area"
"26","26","San Bernardino","190 Bungalow Ct.","CA","92410","-117.300","34.102","","Inland Empire Area"
"27","27","Arcadia","420 N. Santa Anita Ave.","CA","91006","-118.031","34.145","","Los Angeles Area"
"28","28","Laguna Niguel","28782 Camino Capistrano","CA","92675","-117.674","33.545","","Orange County"
"29","29","Hesperia","13704 Main St.","CA","92345","-117.378","34.427","","Inland Empire Area"
"30","30","Torrance","730 W. Carson St.","CA","90502","-118.289","33.831","","Los Angeles Area"
"31","31","San Bernardino","1065 E. Harriman Pl.","CA","92408","-117.262","34.067","","Inland Empire Area"
"32","32","Placentia","825 W. Chapman Ave.","CA","92870","-117.879","33.874","","Orange County"
"33","33","Pomona","2505 Garey Ave.","CA","91766","-117.749","34.026","","Los Angeles Area"
"34","34","Ontario","1891 E. G St.","CA","91764","-117.611","34.069","","Inland Empire Area"
"35","35","Northridge","9858 Balboa Blvd.","CA","91325","-118.502","34.250","","Los Angeles Area"
"36","36","La Habra","2030 E. Lambert Rd.","CA","90631","-117.924","33.925","","Orange County"
"37","37","Westminster","6292 Westminster Blvd.","CA","92683","-118.019","33.759","","Orange County"
"38","38","Costa Mesa","594 W. 19th St.","CA","92626","-117.923","33.644","","Orange County"
"39","39","Pedley","6634 Clay St.","CA","92509","-117.466","33.967","","Inland Empire Area"
"40","40","Lakewood","5820 Bellflower Blvd.","CA","90713","-118.125","33.861","","Los Angeles Area"
"41","41","Camarillo","1316 Ventura Blvd.","CA","93010","-119.053","34.217","","Los Angeles Area"
"42","42","Buena Park","7926 Valley View St.","CA","90620","-118.028","33.847","","Orange County"
"43","43","Lancaster","2021 W. Avenue I","CA","93536","-118.167","34.705","","Los Angeles Area"
"44","44","Moreno Valley","23035 Hemlock Ave.","CA","92557","-117.260","33.942","","Inland Empire Area"
"45","45","Upland","1837 Foothill Blvd.","CA","91786","-117.686","34.107","","Inland Empire Area"
